speaker,f0_midpoint,speech_rate,vowel,condition,group
it01,137.17306325650975,4.893205783769236,u,voiced,velar
it01,118.84660495144948,5.015636245996896,a,voiced,coronal
it01,117.69253181616442,4.819541312204465,o,voiceless,velar
it01,112.2327182034641,5.031661731445121,a,voiceless,coronal
it01,114.75096695052764,5.063435351006833,o,voiceless,velar
it01,113.20115938194454,5.063291139240506,o,voiced,coronal
it01,112.67401033533314,5.047353640940094,o,voiceless,coronal
it01,109.7931624004676,5.047500130919538,a,voiceless,velar
it01,111.54112862749442,5.263317179335683,o,voiced,coronal
it01,125.67917842669095,4.953664659194066,u,voiceless,velar
it01,110.93269288968555,5.0474969462643475,a,voiced,velar
it01,109.89867528252849,5.0474969462643475,a,voiced,coronal
it01,112.49437638428556,5.0957621094416785,o,voiced,velar
it01,119.78463204068024,5.015780900658699,u,voiceless,coronal
it01,108.41708959402732,5.16151676331605,a,voiceless,coronal
it01,117.64650588066708,5.442428629351562,u,voiceless,velar
it01,107.88590451488987,5.000284391174758,a,voiceless,velar
it01,116.06594208580864,5.19496036894608,u,voiceless,coronal
it01,118.87876078709296,4.984600699214867,u,voiced,velar
it01,122.69182522900508,4.893340469454849,u,voiced,coronal
it01,110.07289513558818,5.128356348969272,a,voiced,velar
it01,111.72518160728195,5.015780900658699,o,voiced,velar
it01,117.07146679767656,4.9385490172596125,u,voiced,coronal
it01,111.01067385609213,4.834201979001423,o,voiceless,coronal
it01,128.89631841896508,5.12835306146651,u,voiced,velar
it01,112.6856959307841,5.144807024719534,a,voiced,coronal
it01,118.28754514457596,5.031376924344473,o,voiceless,velar
it01,109.73059120915634,4.9081802185612755,a,voiceless,coronal
it01,111.55240720239246,4.938549017259634,o,voiceless,velar
it01,111.63721760555067,5.06314373125847,o,voiced,coronal
it01,113.48471004975056,5.000000000000018,o,voiceless,coronal
it01,113.9950731868454,5.047500130919504,a,voiceless,velar
it01,115.01861471606792,5.079329604682115,o,voiced,coronal
it01,125.44370477381528,5.000140628955207,u,voiceless,velar
it01,113.51367460986825,5.263313716524516,a,voiced,velar
it01,111.42878119910594,5.015780900658699,a,voiced,coronal
it01,114.8178471001803,4.969153976689697,o,voiced,velar
it01,124.52245812192744,5.161516763316074,u,voiceless,coronal
it01,116.89383883168072,5.063438555806052,a,voiceless,coronal
it01,124.1007077089544,5.0956160504262344,u,voiceless,velar
it01,113.58317748937326,5.047356825414465,a,voiceless,velar
it01,119.36976250608149,5.2289905695155,u,voiceless,coronal
it01,126.27819466645931,5.063438555806052,u,voiced,velar
it01,122.79245573584822,5.015922418727952,u,voiced,coronal
it01,113.79781916104248,5.063438555806052,a,voiced,velar
it01,118.35429169490467,5.063435351006838,o,voiced,velar
it01,122.73374126754833,5.228833355773744,u,voiced,coronal
it01,120.97049323963763,5.079619866647315,o,voiceless,coronal
it01,129.18910900015388,5.246097722996834,u,voiced,velar
it01,117.26985934723784,5.2289905695155,a,voiced,coronal
it01,119.8255200581288,5.031807311970773,o,voiceless,velar
it01,110.04962816704268,5.000140628955207,a,voiceless,coronal
it01,114.19631542741968,5.095762109441702,o,voiceless,velar
it01,111.81252819151796,5.0956160504262344,o,voiced,coronal
it01,113.26260480615596,4.819277108433745,o,voiceless,coronal
it01,107.6334459767763,5.228990569515597,a,voiceless,velar
it01,112.37258777142982,5.178181215629771,o,voiced,coronal
it01,120.69570419711305,5.333333333333333,u,voiceless,velar
it01,111.35026706160268,5.0796198666472225,a,voiced,velar
it01,111.0132956125534,5.031661731445194,a,voiced,coronal
it01,117.6070510885633,5.2289905695155,o,voiced,velar
it01,122.7685642796194,5.095612804765444,u,voiceless,coronal
it01,114.13706107095052,5.031661731445194,a,voiceless,coronal
it01,121.080086632128,5.211998019440754,u,voiceless,velar
it01,120.28564322197376,5.079768235574279,u,voiceless,coronal
it01,120.43211623835482,5.161363580644337,u,voiced,velar
it01,117.38263100113758,5.128501003263001,u,voiced,coronal
it01,116.12338201619188,5.079619866647315,a,voiced,velar
it01,115.19435701667088,5.063291139240557,o,voiced,velar
it01,118.54332084160971,5.079623091966603,u,voiced,coronal
it01,112.29474508267047,5.128504290955418,o,voiceless,coronal
it01,125.6935715825076,5.079768235574279,u,voiced,velar
it01,108.55371945436468,5.079619866647315,a,voiced,coronal
it01,112.0543572535864,4.969153976689653,o,voiceless,velar
it01,106.72775478405188,5.1285010032630955,a,voiceless,coronal
it01,117.48971811676054,4.953805761276151,o,voiceless,velar
it01,112.49910415247037,4.92324961552497,o,voiced,coronal
it01,111.19129115847842,4.953664659194033,o,voiceless,coronal
it01,113.29377985501831,4.938411831447045,a,voiceless,velar
it01,112.74829587106362,5.047500130919504,o,voiced,coronal
it01,120.98916142316656,5.047500130919594,u,voiceless,velar
it01,109.31367601546503,5.246097722996834,a,voiced,velar
it01,111.23748902700709,5.047500130919504,a,voiced,coronal
it01,111.0963296625878,5.111860282634757,o,voiced,velar
it01,118.47502473859672,5.000140628955207,u,voiceless,coronal
it01,114.66233079357552,5.063435351006884,a,voiceless,coronal
it01,125.16258842461228,4.9081802185612755,u,voiceless,velar
it01,113.86893923593396,5.000140628955207,a,voiceless,velar
it01,118.35308124231248,5.015780900658699,u,voiceless,coronal
it01,123.13379337599476,4.938408782960007,u,voiced,velar
it01,122.00166878606186,5.031516159343078,u,voiced,coronal
it01,114.3142512612982,4.93854901725959,a,voiced,velar
it01,115.2005693642878,4.92324961552497,o,voiced,velar
it01,121.77188269959778,5.063582775970052,u,voiced,coronal
it01,113.52599361861988,5.063438555806007,o,voiceless,coronal
it01,138.92104284249882,5.095612804765351,u,voiced,velar
it01,123.31232045696444,5.1283563489693424,a,voiced,coronal
it01,132.23697335680316,5.079619866647315,o,voiceless,velar
it01,123.44528210835396,5.031661731445014,a,voiceless,coronal
it01,127.65455516545865,5.178033745245953,o,voiceless,velar
it01,124.80525973641102,5.144807024719393,o,voiced,coronal
it01,118.79209582226216,5.079619866647406,o,voiceless,coronal
it01,113.27652652104936,5.000000000000107,a,voiceless,velar
it01,117.96489514289806,5.031519323864509,o,voiced,coronal
it01,131.2904020912154,5.047353640940072,u,voiceless,velar
it01,118.0909563978983,5.015780900658699,a,voiced,velar
it01,116.11595039314896,4.969011998921686,a,voiced,coronal
it01,121.04449592757204,4.938408782960007,o,voiced,velar
it01,125.83955153933525,5.246097722996834,u,voiceless,coronal
it01,116.819682304217,5.095612804765444,a,voiceless,coronal
it01,121.54277959751558,4.819407755029596,u,voiceless,velar
it01,114.40046942012792,4.953664659193946,a,voiceless,velar
it01,125.1866195352614,5.000140628955118,u,voiceless,coronal
it01,130.54208809530402,5.000140628955118,u,voiced,velar
it01,129.29838848135154,5.095762109441517,u,voiced,coronal
it01,123.85502618300588,5.063435351006884,a,voiced,velar
it01,123.88814106072442,4.938408782960007,o,voiced,velar
it01,125.88262300687455,5.063435351006884,u,voiced,coronal
it01,122.87212350852236,5.079474731517957,o,voiceless,coronal
it01,136.6502993866763,5.178184567327115,u,voiced,velar
it01,123.2949703172185,5.128504290955418,a,voiced,coronal
it01,128.00878707624167,5.228836773363154,o,voiceless,velar
it01,121.40203414039556,5.063291139240557,a,voiceless,coronal
it01,120.54603233361608,4.893202790838153,o,voiceless,velar
it01,122.14904452922416,4.984457837405596,o,voiced,coronal
it01,122.04913807246253,4.923246585728581,o,voiceless,coronal
it01,117.25415691644451,5.031661731445014,a,voiceless,velar
it01,122.36282458830236,5.047353640940072,o,voiced,coronal
it01,130.13781168251467,5.063291139240557,u,voiceless,velar
it01,121.41896887416888,5.031519323864509,a,voiced,velar
it01,114.2109937114274,5.015780900658699,a,voiced,coronal
it01,120.18106524295877,5.031373760002117,o,voiced,velar
it01,124.82305886602327,4.984457837405773,u,voiceless,coronal
it01,117.00907042567736,5.211994623827556,a,voiceless,coronal
it01,128.22553755202944,5.000140628955296,u,voiceless,velar
it01,124.19622860687124,5.0796198666472225,a,voiceless,velar
it01,126.89038661087685,5.04735682541442,u,voiceless,coronal
it01,123.75716891685845,4.762032316341788,u,voiced,velar
it01,129.41480412686005,5.031661731445014,u,voiced,coronal
it01,120.66635603397762,5.128205128205121,a,voiced,velar
it01,125.23087705903068,5.1948051948051255,o,voiced,velar
it01,124.70994144983474,5.000140628955118,u,voiced,coronal
it01,121.63435378121756,5.333333333333333,o,voiceless,coronal
it02,165.53261863633557,4.892933442038005,u,voiced,velar
it02,164.14343350399884,4.804836548469689,u,voiceless,coronal
it02,144.82778194104506,4.383696157251945,a,voiceless,velar
it02,175.48864408590015,4.383696157251948,o,voiced,velar
it02,168.30521579396387,4.347932422260324,o,voiced,coronal
it02,150.45807887797216,4.53272428628007,a,voiced,coronal
it02,155.6169419492477,4.863254404740704,o,voiceless,velar
it02,146.84071562005016,4.651162790697677,a,voiceless,coronal
it02,149.59869974879663,4.155870062566618,o,voiced,velar
