vot,voicing
44.87785738862371,voiceless
-0.6679473940196523,voiceless
18.648783152491298,voiceless
12.36334035180553,voiceless
17.949446859614415,voiceless
12.791142142839274,voiceless
48.29151844986601,voiceless
14.331080284349262,voiceless
-122.43765413678788,voiced
34.75425356760642,voiceless
44.75007269135012,voiceless
-7.733162891764067,voiceless
24.717059437712187,voiceless
9.992621376630815,voiceless
18.37616078600224,voiceless
12.794391600694732,voiceless
18.75492654964628,voiceless
13.922168807607882,voiceless
30.30829521608258,voiceless
33.99023283587055,voiceless
-115.90960524283,voiced
36.00671812927403,voiceless
13.612579742413145,voiceless
5.219381146762014,voiceless
26.064665859140803,voiceless
12.741814703373988,voiceless
24.369951139885604,voiceless
34.58901494367317,voiceless
-0.01594884679856356,voiceless
48.470018709330986,voiced
137.31872199831253,voiceless
39.07896623091778,voiceless
19.943582866861043,voiceless
37.34955347627211,voiceless
-114.2012858283108,voiced
-132.9036631638656,voiced
-148.58050429245938,voiced
28.25654062209526,voiceless
29.62573758716802,voiceless
-153.23211591720639,voiced
16.33150583526688,voiceless
18.724584816215195,voiceless
12.232701510686228,voiceless
12.954372046431018,voiceless
17.268221207171976,voiceless
12.357743605625693,voiceless
29.12129922430684,voiceless
36.82941192452694,voiceless
-111.0939310224589,voiced
-148.92708289409796,voiced
24.811504804417297,voiceless
-108.78908052853076,voiced
-144.6929699968238,voiced
-127.92555420529084,voiced
-150.74324236682114,voiced
-145.80361931130037,voiced
39.33886871777159,voiceless
18.577034738061823,voiceless
-156.5184504754339,voiced
14.262852646982571,voiceless
28.8870129099692,voiceless
12.337584987593075,voiceless
14.61896365887516,voiceless
-113.28762189873598,voiced
15.98477310854307,voiceless
-123.56645599999284,voiced
9.84625493403879,voiceless
27.996712407890367,voiceless
10.801934538814615,voiceless
28.544656904808228,voiceless
-141.93326508251647,voiced
-137.7573266561053,voiced
-140.34763796927174,voiced
37.14419010193781,voiceless
22.7603575469294,voiceless
-150.45204109625675,voiced
8.73434946594398,voiceless
28.585128047319273,voiceless
14.130097974528578,voiceless
23.679625276167403,voiceless
13.03662325695587,voiceless
17.17051008881598,voiceless
-106.04246418793362,voiced
11.727707038441723,voiceless
15.583002646402557,voiceless
-133.86508435216692,voiced
27.271590389148503,voiceless
-135.31772076665715,voiced
-134.13793005869357,voiced
21.837682693631955,voiceless
24.578836212571066,voiceless
-133.16905668232548,voiced
7.819638853413968,voiceless
12.25430295333596,voiceless
-154.7872577067918,voiced
209.04367434465908,voiced
43.04496295729399,voiced
44.33935767323116,voiceless
-133.3159901287484,voiced
-133.72085863613492,voiced
48.62695501671021,voiceless
22.38250104830208,voiceless
173.32836059754376,voiceless
14.330799696647745,voiceless
46.06065069526544,voiceless
27.94506643310246,voiceless
-174.5794036368884,voiced
45.89826790220375,voiceless
45.5805922992254,voiceless
-180.2042874906118,voiced
28.63414412962517,voiceless
-176.6897430490064,voiced
45.6353676889083,voiceless
35.141724217841116,voiceless
43.3555501158116,voiceless
13.795995431553854,voiceless
18.268110729755534,voiceless
22.039987597096243,voiceless
7.0810972715080744,voiceless
-166.34940723375834,voiced
14.210141372570371,voiceless
-161.5849700116474,voiced
9.636968243001752,voiceless
-194.61965553302397,voiced
22.51635863602197,voiceless
31.10074355392589,voiceless
-161.80976412998737,voiced
30.409698967577725,voiceless
33.44197404455285,voiceless
18.29801386226282,voiceless
20.076317089619657,voiceless
19.49617028965789,voiceless
16.953487348970953,voiceless
20.1221429728915,voiceless
49.27613992731117,voiceless
26.45467155950465,voiceless
-183.29973264657065,voiced
21.43851167807864,voiceless
33.70520326564686,voiceless
-176.52184106349634,voiced
43.888376846176854,voiceless
27.586061990428018,voiceless
12.03488807960773,voiceless
-172.5348404629083,voiced
19.75535947899454,voiceless
12.909833660355474,voiceless
36.96912356886939,voiceless
28.15045385366033,voiceless
7.005702900529931,voiceless
17.081425650146365,voiceless
-176.2868380229654,voiced
21.215768269587933,voiceless
16.401046530666985,voiceless
166.36445300770575,voiceless
14.23009024775701,voiceless
27.777859491350696,voiceless
-110.50341479007186,voiced
-181.69245386685176,voiced
23.626196298494495,voiceless
-115.70104154586458,voiced
12.317174880347004,voiceless
23.57702029542086,voiceless
18.01032637514033,voiceless
31.8023735883568,voiceless
48.44560022169952,voiceless
25.60576604496023,voiceless
-142.82185306387984,voiced
12.300849751487595,voiceless
23.691987471198495,voiceless
-154.78531419549847,voiced
23.56929990047685,voiceless
-162.83861510376397,voiced
20.578682278113327,voiceless
15.644535798891024,voiceless
46.16023950436454,voiceless
65.78456350276385,voiceless
19.314726522606797,voiceless
54.808103435935784,voiceless
28.03610479559593,voiceless
47.204612837941525,voiceless
31.37858388147951,voiceless
24.874757357137955,voiceless
33.16347188871727,voiceless
20.095340398228466,voiceless
25.14206577777567,voiceless
8.590565493845848,voiceless
41.43736745624249,voiceless
32.80139784340008,voiceless
25.955041303281632,voiceless
22.528146248731893,voiceless
12.02353128217304,voiceless
28.79045302449179,voiceless
28.079651412593165,voiceless
40.79813623704109,voiceless
23.565408364075054,voiceless
42.91253101270587,voiceless
38.47495047894745,voiceless
18.966246607785784,voiceless
47.41872369706135,voiceless
33.725309057815565,voiceless
44.34317293909884,voiceless
41.61959524417358,voiceless
42.994437328748305,voiceless
43.482606350145446,voiceless
48.81012349851943,voiceless
43.51639853739453,voiceless
44.23161393878239,voiceless
38.51142981492717,voiceless
35.87672727809799,voiceless
14.562924623567008,voiceless
40.41528065013722,voiceless
-8.713854943232846,voiceless
24.683375439373823,voiceless
13.812186804762929,voiceless
42.99364285325913,voiceless
17.74781814541937,voiceless
18.789449942596903,voiceless
27.032238977594545,voiceless
37.16235526269984,voiceless
27.308218088524903,voiceless
52.28112912989013,voiceless
23.10704709835698,voiceless
55.34337424189806,voiceless
32.091607426242504,voiceless
48.12291808661829,voiceless
48.09617032275093,voiceless
3.63617861505805,voiceless
36.348884945414326,voiceless
18.61644509185645,voiceless
36.19331966959538,voiceless
35.10958614658399,voiceless
44.16683536980415,voiceless
16.510780229846755,voiceless
23.984550056031505,voiceless
19.566566038654365,voiceless
13.413084192001268,voiceless
27.453422000802696,voiceless
31.17402262923697,voiceless
9.939529346510769,voiceless
21.99183153485773,voiceless
22.265152752087847,voiceless
21.95238725635229,voiceless
21.0344201644983,voiceless
21.322129243393384,voiceless
30.0779844689969,voiceless
15.1367968589452,voiceless
20.57888565336585,voiceless
22.78340119342326,voiceless
12.095454322986532,voiceless
9.268898214161991,voiceless
9.996028596394035,voiceless
20.301766716541604,voiceless
15.803071736938731,voiceless
19.53698595453657,voiceless
16.476012373872972,voiceless
23.097905270813342,voiceless
26.08816790185675,voiceless
19.443877448403143,voiceless
17.15654556513546,voiceless
23.67621887501614,voiceless
20.06414752520702,voiceless
19.7152746772693,voiceless
111.91017053246122,voiceless
25.95605581972027,voiceless
20.523788822530253,voiceless
23.838583393139157,voiceless
26.10836153687135,voiceless
21.102586097072052,voiceless
21.801554069147187,voiceless
16.281289076661153,voiceless
19.361639481085824,voiceless
11.990729986583236,voiceless
14.064015796195983,voiceless
19.51226726533528,voiceless
27.82419767739497,voiceless
18.55844425687203,voiceless
26.363443996405557,voiceless
21.715769196670177,voiceless
18.815249559343773,voiceless
14.221060919113349,voiceless
18.19488660574009,voiceless
25.19355547238533,voiceless
77.73069406400145,voiceless
17.88048508733786,voiceless
10.459713795505031,voiceless
13.722180544529117,voiceless
11.225280935394654,voiceless
13.541308667159855,voiceless
16.48087832734635,voiceless
14.41648518926586,voiceless
97.85037405813824,voiceless
72.33274223749886,voiceless
22.057282963815815,voiceless
33.264699379324746,voiceless
17.182515558556098,voiceless
14.811109987608484,voiceless
19.543081795328376,voiceless
66.32662753733165,voiceless
-17.464790271646603,voiceless
71.27756025387444,voiceless
74.87807742817321,voiceless
11.658644304969323,voiceless
16.7247811521144,voiceless
12.93916427195807,voiceless
22.724332903705236,voiceless
30.226247132341012,voiceless
103.35072413955938,voiceless
24.158918287287445,voiceless
47.18507486917167,voiceless
86.869852533624,voiceless
95.66679532447742,voiceless
29.20923584419166,voiceless
71.58860968992953,voiceless
26.369598461676524,voiceless
13.360594632194632,voiceless
35.40143422776198,voiceless
21.12465069164915,voiceless
17.230161785257046,voiceless
15.043965052005449,voiceless
56.25104827164606,voiceless
17.13478629337839,voiceless
11.978312561623628,voiceless
38.742106006234955,voiceless
12.306647598811836,voiceless
